benchmark_version,model,version,task,score,source_file
Final repaired ACL Bench,DeepSeek-R1-Distill-Llama-8B,Base,Overall,28.000000000000004,acl_bench_baseline_deepseek_chat.json
Final repaired ACL Bench,DeepSeek-R1-Distill-Llama-8B,Base,counter_logic,30.0,acl_bench_baseline_deepseek_chat.json
Final repaired ACL Bench,DeepSeek-R1-Distill-Llama-8B,Base,hierarchy_logic,27.0,acl_bench_baseline_deepseek_chat.json
Final repaired ACL Bench,DeepSeek-R1-Distill-Llama-8B,Base,pattern_recognition,27.0,acl_bench_baseline_deepseek_chat.json
Final repaired ACL Bench,DeepSeek-R1-Distill-Llama-8B,LoRA-v2,Overall,38.0,acl_bench_deepseek_finetuned_chat.json
Final repaired ACL Bench,DeepSeek-R1-Distill-Llama-8B,LoRA-v2,counter_logic,43.0,acl_bench_deepseek_finetuned_chat.json
Final repaired ACL Bench,DeepSeek-R1-Distill-Llama-8B,LoRA-v2,hierarchy_logic,39.0,acl_bench_deepseek_finetuned_chat.json
Final repaired ACL Bench,DeepSeek-R1-Distill-Llama-8B,LoRA-v2,pattern_recognition,32.0,acl_bench_deepseek_finetuned_chat.json
Final repaired ACL Bench,Qwen2.5-7B,Base,Overall,35.333333333333336,acl_bench_baseline_qwen25_chat.json
Final repaired ACL Bench,Qwen2.5-7B,Base,counter_logic,38.0,acl_bench_baseline_qwen25_chat.json
Final repaired ACL Bench,Qwen2.5-7B,Base,hierarchy_logic,34.0,acl_bench_baseline_qwen25_chat.json
Final repaired ACL Bench,Qwen2.5-7B,Base,pattern_recognition,34.0,acl_bench_baseline_qwen25_chat.json
Final repaired ACL Bench,Qwen2.5-7B,LoRA-v2,Overall,54.0,acl_bench_qwen2.5_finetuned_chat.json
Final repaired ACL Bench,Qwen2.5-7B,LoRA-v2,counter_logic,24.0,acl_bench_qwen2.5_finetuned_chat.json
Final repaired ACL Bench,Qwen2.5-7B,LoRA-v2,hierarchy_logic,70.0,acl_bench_qwen2.5_finetuned_chat.json
Final repaired ACL Bench,Qwen2.5-7B,LoRA-v2,pattern_recognition,68.0,acl_bench_qwen2.5_finetuned_chat.json
Final repaired ACL Bench,Llama3.1-8B,Base,Overall,45.0,acl_bench_baseline_llama31_chat.json
Final repaired ACL Bench,Llama3.1-8B,Base,counter_logic,39.0,acl_bench_baseline_llama31_chat.json
Final repaired ACL Bench,Llama3.1-8B,Base,hierarchy_logic,62.0,acl_bench_baseline_llama31_chat.json
Final repaired ACL Bench,Llama3.1-8B,Base,pattern_recognition,34.0,acl_bench_baseline_llama31_chat.json
Final repaired ACL Bench,Llama3.1-8B,LoRA-v2,Overall,58.666666666666664,acl_bench_llama3.1_finetuned_chat.json
Final repaired ACL Bench,Llama3.1-8B,LoRA-v2,counter_logic,41.0,acl_bench_llama3.1_finetuned_chat.json
Final repaired ACL Bench,Llama3.1-8B,LoRA-v2,hierarchy_logic,65.0,acl_bench_llama3.1_finetuned_chat.json
Final repaired ACL Bench,Llama3.1-8B,LoRA-v2,pattern_recognition,70.0,acl_bench_llama3.1_finetuned_chat.json
