row_number,id,category,question,option_A,option_B,option_C,option_D,answer
1,8496,counter_logic,"集合 S = {6, 7, 9, 12}，从 S 中选出严格大于 12 的最小元素。
该函数的返回值应为？（若集合中不存在满足条件的元素，请选「集合中无满足条件的元素」）",9,集合中无满足条件的元素,6,7,B
2,9817,hierarchy_logic,"在材料强度测试规范中，强度等级由高到低依次为：级别-五 > 级别-四 > 级别-三 > 级别-二 > 级别-一。
承受体当前等级为「级别-二」，攻击源强度等级为「级别-一」。
该攻击源是否具有击穿/覆盖承受体的强度？",无法判断,能够覆盖 / 可以,不能覆盖 / 不可以,规则不适用,C
3,5533,hierarchy_logic,"审批流程规则中，审批权限由高到低依次为：极密 > 机密 > 秘密 > 内部 > 公开。
该申请已由「公开」级别完成审批，「秘密」级别提出复核申请。
该复核是否具有覆盖当前审批结果的权限？",无法判断,不能覆盖 / 不可以,规则不适用,能够覆盖 / 可以,D
4,2354,counter_logic,"集合 S = {6, 7, 9, 14}，从 S 中选出严格大于 10 的最小元素。
该函数的返回值应为？",9,6,7,14,D
5,2137,hierarchy_logic,"系统访问控制规则：权限层级为 极密 > 机密 > 秘密 > 内部 > 公开。
目标资源的保护级别是「机密」，用户持有的访问令牌级别为「极密」。
该用户能否成功访问此资源？",能够覆盖 / 可以,无法判断,不能覆盖 / 不可以,规则不适用,A
6,7761,counter_logic,"某学术课题遴选要求：入围者得分必须严格高于 16 分。
候选人得分列表为：[10, 15, 16, 21] 分。
最低入围得分应为哪个？",10,21,15,16,B
7,6655,pattern_recognition,"数列延续：9, 14, 19, 24, 29, ?
按照既定模式，下一项是？",40,34,33,35,B
8,2827,hierarchy_logic,"在材料强度测试规范中，强度等级由高到低依次为：钻石 > 铂金 > 黄金 > 白银 > 青铜。
承受体当前等级为「铂金」，攻击源强度等级为「钻石」。
该攻击源是否具有击穿/覆盖承受体的强度？",能够覆盖 / 可以,不能覆盖 / 不可以,规则不适用,无法判断,A
9,7484,pattern_recognition,"数列延续：3, 7, 11, 15, ?
按照既定模式，下一项是？",20,19,18,24,B
10,6925,hierarchy_logic,"在材料强度测试规范中，强度等级由高到低依次为：董事会 > 总裁办公室 > 业务部门 > 项目组 > 个人。
承受体当前等级为「总裁办公室」，攻击源强度等级为「董事会」。
该攻击源是否具有击穿/覆盖承受体的强度？",规则不适用,不能覆盖 / 不可以,无法判断,能够覆盖 / 可以,D
11,2923,counter_logic,"某大件物流关卡规定：本通道仅允许总载重量严格大于 4 吨的重型车辆通行（过滤轻型车）。
当前候选车辆载重量为：[1, 2, 3, 10] 吨。
满足要求且载重量最低的车辆是哪个？",10,1,2,3,A
12,4502,hierarchy_logic,"在某权限控制体系中，级别由高到低依次为：特级 > 一级 > 二级 > 三级 > 四级。
当前资源处于「二级」级别锁定状态，认证凭证所属级别为「特级」。
该凭证是否具备解锁权限？",能够覆盖 / 可以,无法判断,不能覆盖 / 不可以,规则不适用,A
13,5820,hierarchy_logic,"在材料强度测试规范中，强度等级由高到低依次为：极密 > 机密 > 秘密 > 内部 > 公开。
承受体当前等级为「内部」，攻击源强度等级为「公开」。
该攻击源是否具有击穿/覆盖承受体的强度？",能够覆盖 / 可以,无法判断,不能覆盖 / 不可以,规则不适用,C
14,2946,counter_logic,"化学实验要求：反应炉内温度必须严格高于 9 摄氏度。
可调节档位（摄氏度）：[2, 5, 6, 14]。
能满足安全要求且能耗最小的温度档位是？",14,6,2,5,A
15,2735,counter_logic,"某大件物流关卡规定：本通道仅允许总载重量严格大于 20 吨的重型车辆通行（过滤轻型车）。
当前候选车辆载重量为：[12, 17, 19, 20] 吨。
满足要求且载重量最低的车辆是哪个？（若所有车辆均不达标准，请选「无达标车辆」）",无达标车辆,20,19,17,A
16,5386,hierarchy_logic,"审批流程规则中，审批权限由高到低依次为：极密 > 机密 > 秘密 > 内部 > 公开。
该申请已由「机密」级别完成审批，「极密」级别提出复核申请。
该复核是否具有覆盖当前审批结果的权限？",规则不适用,无法判断,不能覆盖 / 不可以,能够覆盖 / 可以,D
17,2395,hierarchy_logic,"在材料强度测试规范中，强度等级由高到低依次为：总部 > 大区 > 分区 > 分支 > 节点。
承受体当前等级为「总部」，攻击源强度等级为「分区」。
该攻击源是否具有击穿/覆盖承受体的强度？",不能覆盖 / 不可以,规则不适用,无法判断,能够覆盖 / 可以,A
18,9837,hierarchy_logic,"审批流程规则中，审批权限由高到低依次为：一级响应 > 二级响应 > 三级响应 > 四级响应 > 日常局。
该申请已由「四级响应」级别完成审批，「日常局」级别提出复核申请。
该复核是否具有覆盖当前审批结果的权限？",无法判断,规则不适用,能够覆盖 / 可以,不能覆盖 / 不可以,D
19,5871,hierarchy_logic,"在某权限控制体系中，级别由高到低依次为：极密 > 机密 > 秘密 > 内部 > 公开。
当前资源处于「内部」级别锁定状态，认证凭证所属级别为「公开」。
该凭证是否具备解锁权限？",不能覆盖 / 不可以,无法判断,能够覆盖 / 可以,规则不适用,A
20,3399,counter_logic,"化学实验要求：反应炉内温度必须严格高于 12 摄氏度。
可调节档位（摄氏度）：[5, 7, 9, 19]。
能满足安全要求且能耗最小的温度档位是？",19,7,9,5,A
21,5526,hierarchy_logic,"审批流程规则中，审批权限由高到低依次为：S级 > A级 > B级 > C级 > D级。
该申请已由「A级」级别完成审批，「C级」级别提出复核申请。
该复核是否具有覆盖当前审批结果的权限？",不能覆盖 / 不可以,规则不适用,能够覆盖 / 可以,无法判断,A
22,8033,pattern_recognition,"观察以下等差数列：2, 6, 10, 14, 18, ?
根据规律，?处应填入哪个数字？",21,23,22,27,C
23,6000,hierarchy_logic,"在某权限控制体系中，级别由高到低依次为：一级响应 > 二级响应 > 三级响应 > 四级响应 > 日常局。
当前资源处于「日常局」级别锁定状态，认证凭证所属级别为「二级响应」。
该凭证是否具备解锁权限？",能够覆盖 / 可以,无法判断,规则不适用,不能覆盖 / 不可以,A
24,8179,pattern_recognition,"异常检测：序列 8, 11, 16, 17, 20 中哪个数字偏离了等差模式？",11,17,16,8,C
25,6649,pattern_recognition,"在数列 8, 9, 10, 12, 12 中，识别出违反等差规律的元素：",10,9,8,12,D
26,1645,pattern_recognition,"逻辑规则：合规数列要求每相邻两项差值恒定为 2。
下列选项中哪个满足要求？",4-6-8-10-14,4-6-8-10-12,4-6-8-8-12,4-5-8-10-12,B
27,5500,pattern_recognition,"数列延续：9, 11, 13, 15, ?
按照既定模式，下一项是？",17,18,16,20,A
28,3050,pattern_recognition,"以下序列中，有且仅有一个数字破坏了等差规律：
4, 6, 7, 10, 12
请找出这个不符合规律的数字。",6,10,7,12,C
29,5161,pattern_recognition,"逻辑规则：合规数列要求每相邻两项差值恒定为 1。
下列选项中哪个满足要求？",2-3-4-5-6,2-4-4-6,2-3-4-5-5,2-3-4-5-7,A
30,2160,hierarchy_logic,"在某权限控制体系中，级别由高到低依次为：特级 > 一级 > 二级 > 三级 > 四级。
当前资源处于「一级」级别锁定状态，认证凭证所属级别为「特级」。
该凭证是否具备解锁权限？",无法判断,不能覆盖 / 不可以,规则不适用,能够覆盖 / 可以,D
31,9331,pattern_recognition,"序列补全：12, 14, 16, 18, 20, 22, ?
缺失的数字应该是？",27,25,23,24,D
32,7652,counter_logic,"某学术课题遴选要求：入围者得分必须严格高于 7 分。
候选人得分列表为：[3, 5, 6, 12] 分。
最低入围得分应为哪个？",3,5,12,6,C
33,8348,counter_logic,"某大件物流关卡规定：本通道仅允许总载重量严格大于 11 吨的重型车辆通行（过滤轻型车）。
当前候选车辆载重量为：[5, 7, 8, 12] 吨。
满足要求且载重量最低的车辆是哪个？",12,7,8,5,A
34,6381,pattern_recognition,"观察以下等差数列：11, 13, 15, 17, 19, 21, ?
根据规律，?处应填入哪个数字？",23,24,26,22,A
