dataset_index,v1_instruction,v2_instruction,input,v1_output,v2_output,system
39,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“QQ”的选项。,"身份：landlord
手牌：358JQQ
历史出牌：P1:Q -> P2:pass -> P0:R -> P1:pass -> P2:pass
局势信息：剩余牌数:[6, 16, 16]

当前可行出牌选项：
1. QQ (对子)
2. 5 (单张)
3. 3 (单张)
4. J (单张)
5. 8 (单张)
6. Q (单张)
7. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出对Q 出牌：QQ。,在当前局势下，打出“QQ”本是最优策略，但由于特殊规则禁止出“QQ”，为了遵守指令，我选择次优方案打出“5”。 出牌：5。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
211,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“77”的选项。,"身份：landlord
手牌：345778TKKA2R
历史出牌：P0:555666TQ -> P1:pass -> P2:pass
局势信息：剩余牌数:[12, 17, 17]

当前可行出牌选项：
1. 77 (对子)
2. KK (对子)
3. 5 (单张)
4. 3 (单张)
5. 7 (单张)
6. 4 (单张)
7. R (单张)
8. A (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出对7，清理散牌优化牌型，2大王作为底牌 出牌：77。,在当前局势下，打出“77”本是最优策略，但由于特殊规则禁止出“77”，为了遵守指令，我选择次优方案打出“KK”。 出牌：KK。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
299,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“9TJQK”的选项。,"身份：peasant_up
手牌：344799TJJJQKK22
历史出牌：P0:pass -> P1:66 -> P2:88 -> P0:pass -> P1:pass
局势信息：剩余牌数:[16, 11, 15]

当前可行出牌选项：
1. 9TJQK (顺子)
2. 99JJJ (三带二)
3. TJJJ (三带一)
4. JJJ (三张)
5. 44 (对子)
6. 22 (对子)
7. KK (对子)
8. 99 (对子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出顺子9TJQK 出牌：9TJQK。,在当前局势下，打出“9TJQK”本是最优策略，但由于特殊规则禁止出“9TJQK”，为了遵守指令，我选择次优方案打出“99JJJ”。 出牌：99JJJ。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
473,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“J”的选项。,"身份：peasant_down
手牌：345566889TJQQKKAA
历史出牌：P0:K222 -> P1:pass -> P2:pass -> P0:T
局势信息：剩余牌数:[15, 17, 17]

当前可行出牌选项：
1. J (单张)
2. Q (单张)
3. K (单张)
4. A (单张)
5. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌打出单张J压住t，策略是抢夺出牌权 出牌：J。,在当前局势下，打出“J”本是最优策略，但由于特殊规则禁止出“J”，为了遵守指令，我选择次优方案打出“Q”。 出牌：Q。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
629,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“6”的选项。,"身份：peasant_down
手牌：334567889TJJQKA2B
历史出牌：P0:4TTT -> P1:pass -> P2:pass -> P0:5
局势信息：剩余牌数:[15, 17, 17]

当前可行出牌选项：
1. 6 (单张)
2. 7 (单张)
3. 9 (单张)
4. T (单张)
5. 8 (单张)
6. Q (单张)
7. K (单张)
8. J (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌打出单张6，最小代价压制，2小王留作后手 出牌：6。,在当前局势下，打出“6”本是最优策略，但由于特殊规则禁止出“6”，为了遵守指令，我选择次优方案打出“7”。 出牌：7。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
698,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“JJQQKKAA”的选项。,"身份：landlord
手牌：3466777889TJJQQKKAA2
历史出牌：无 (开局)
局势信息：剩余牌数:[20, 17, 17]

当前可行出牌选项：
1. JJQQKKAA (连对)
2. JJQQKK (连对)
3. 667788 (连对)
4. QQKKAA (连对)
5. 6789T (顺子)
6. 789TJ (顺子)
7. 6789TJ (顺子)
8. 89TJQ (顺子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出连对，长牌优先消耗，避免被拆散 出牌：JJQQKKAA。,在当前局势下，打出“JJQQKKAA”本是最优策略，但由于特殊规则禁止出“JJQQKKAA”，为了遵守指令，我选择次优方案打出“JJQQKK”。 出牌：JJQQKK。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
704,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“K”的选项。,"身份：peasant_up
手牌：3467788TKB
历史出牌：P0:pass -> P1:89TJQ -> P2:pass -> P0:pass -> P1:Q
局势信息：剩余牌数:[8, 4, 10]

当前可行出牌选项：
1. K (单张)
2. B (单张)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",精准跟牌单张K，刚好压住q，保持牌力优势 出牌：K。,在当前局势下，打出“K”本是最优策略，但由于特殊规则禁止出“K”，为了遵守指令，我选择次优方案打出“B”。 出牌：B。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
856,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“55”的选项。,"身份：landlord
手牌：4455689J
历史出牌：P1:pass -> P2:pass -> P0:9 -> P1:pass -> P2:pass
局势信息：剩余牌数:[8, 12, 14]

当前可行出牌选项：
1. 55 (对子)
2. 44 (对子)
3. 5 (单张)
4. 6 (单张)
5. 4 (单张)
6. J (单张)
7. 9 (单张)
8. 8 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出对5试探对手，废牌先走，大牌压阵 出牌：55。,在当前局势下，打出“55”本是最优策略，但由于特殊规则禁止出“55”，为了遵守指令，我选择次优方案打出“44”。 出牌：44。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
999,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“3999”的选项。,"身份：peasant_up
手牌：355668999TJJJQKAR
历史出牌：P0:777B -> P1:pass
局势信息：剩余牌数:[16, 17, 17]

当前可行出牌选项：
1. 3999 (三带一)
2. 3JJJ (三带一)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出999带3，组合出牌消耗3，保留大王后手 出牌：3999。,在当前局势下，打出“3999”本是最优策略，但由于特殊规则禁止出“3999”，为了遵守指令，我选择次优方案打出“3JJJ”。 出牌：3JJJ。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
1016,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“7”的选项。,"身份：peasant_down
手牌：3455777TJQQA22B
历史出牌：P2:pass -> P0:R -> P1:pass -> P2:pass -> P0:5
局势信息：剩余牌数:[11, 15, 16]

当前可行出牌选项：
1. 7 (单张)
2. T (单张)
3. J (单张)
4. A (单张)
5. Q (单张)
6. B (单张)
7. 2 (单张)
8. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌打出单张7，最小代价压制，2个2小王留作后手 出牌：7。,在当前局势下，打出“7”本是最优策略，但由于特殊规则禁止出“7”，为了遵守指令，我选择次优方案打出“T”。 出牌：T。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
1119,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“345678”的选项。,"身份：peasant_up
手牌：3455678992R
历史出牌：P0:pass -> P1:7QQQ -> P2:KKKA -> P0:pass -> P1:pass
局势信息：剩余牌数:[18, 11, 11]

当前可行出牌选项：
1. 345678 (顺子)
2. 34567 (顺子)
3. 45678 (顺子)
4. 3456789 (顺子)
5. 56789 (顺子)
6. 456789 (顺子)
7. 55 (对子)
8. 99 (对子)

请分析当前局势，进行战术推演，并做出最佳决策。",顺子345678出击，批量出牌 出牌：345678。,在当前局势下，打出“345678”本是最优策略，但由于特殊规则禁止出“345678”，为了遵守指令，我选择次优方案打出“34567”。 出牌：34567。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
1181,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“KKKK”的选项。,"身份：landlord
手牌：345567888QQKKKKAA22B
历史出牌：无 (开局)
局势信息：剩余牌数:[20, 17, 17]

当前可行出牌选项：
1. KKKK (炸弹)
2. 34567 (顺子)
3. 45678 (顺子)
4. 345678 (顺子)
5. QQKKAA (连对)
6. 88822 (三带二)
7. 7888 (三带一)
8. 888 (三张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出炸弹K，主动出击争取掌控比赛节奏 出牌：KKKK。,在当前局势下，打出“KKKK”本是最优策略，但由于特殊规则禁止出“KKKK”，为了遵守指令，我选择次优方案打出“34567”。 出牌：34567。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
1284,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“4499QQQKKK”的选项。,"身份：landlord
手牌：333446667899JQQQKKKA
历史出牌：无 (开局)
局势信息：剩余牌数:[20, 17, 17]

当前可行出牌选项：
1. 4499QQQKKK (飞机带对)
2. 68QQQKKK (飞机带单)
3. QQQKKK (飞机)
4. 33666 (三带二)
5. 66QQQ (三带二)
6. 33399 (三带二)
7. 66KKK (三带二)
8. KKKA (三带一)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出飞机10张，长牌优先消耗，避免被拆散 出牌：4499QQQKKK。,在当前局势下，打出“4499QQQKKK”本是最优策略，但由于特殊规则禁止出“4499QQQKKK”，为了遵守指令，我选择次优方案打出“68QQQKKK”。 出牌：68QQQKKK。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
1364,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“B”的选项。,"身份：peasant_up
手牌：355667789JQAA22B
历史出牌：P0:J -> P1:R -> P2:pass -> P0:pass -> P1:Q
局势信息：剩余牌数:[14, 9, 16]

当前可行出牌选项：
1. B (单张)
2. A (单张)
3. 2 (单张)
4. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",最小压制q，出单张小王刚好压住，保留大牌后手 出牌：B。,在当前局势下，打出“B”本是最优策略，但由于特殊规则禁止出“B”，为了遵守指令，我选择次优方案打出“A”。 出牌：A。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
