benchmark_version,model,version,task,score,source_file
Earlier polished ACL Bench,DeepSeek-R1-Distill-Llama-8B,Base,Overall,16.0,acl_bench_baseline_DeepSeek-R1-Distill-Llama-8B_polished_chat.json
Earlier polished ACL Bench,DeepSeek-R1-Distill-Llama-8B,Base,counter_logic,23.0,acl_bench_baseline_DeepSeek-R1-Distill-Llama-8B_polished_chat.json
Earlier polished ACL Bench,DeepSeek-R1-Distill-Llama-8B,Base,hierarchy_logic,0.0,acl_bench_baseline_DeepSeek-R1-Distill-Llama-8B_polished_chat.json
Earlier polished ACL Bench,DeepSeek-R1-Distill-Llama-8B,Base,pattern_recognition,25.0,acl_bench_baseline_DeepSeek-R1-Distill-Llama-8B_polished_chat.json
Earlier polished ACL Bench,DeepSeek-R1-Distill-Llama-8B,LoRA-v1,Overall,53.0,acl_bench_DeepSeek-R1-Distill-Llama-8B_finetuned_polished_chat.json
Earlier polished ACL Bench,DeepSeek-R1-Distill-Llama-8B,LoRA-v1,counter_logic,79.0,acl_bench_DeepSeek-R1-Distill-Llama-8B_finetuned_polished_chat.json
Earlier polished ACL Bench,DeepSeek-R1-Distill-Llama-8B,LoRA-v1,hierarchy_logic,0.0,acl_bench_DeepSeek-R1-Distill-Llama-8B_finetuned_polished_chat.json
Earlier polished ACL Bench,DeepSeek-R1-Distill-Llama-8B,LoRA-v1,pattern_recognition,80.0,acl_bench_DeepSeek-R1-Distill-Llama-8B_finetuned_polished_chat.json
Earlier polished ACL Bench,Qwen2-7B,Base,Overall,42.0,acl_bench_baseline_qwen2_polished_chat.json
Earlier polished ACL Bench,Qwen2-7B,Base,counter_logic,99.0,acl_bench_baseline_qwen2_polished_chat.json
Earlier polished ACL Bench,Qwen2-7B,Base,hierarchy_logic,0.0,acl_bench_baseline_qwen2_polished_chat.json
Earlier polished ACL Bench,Qwen2-7B,Base,pattern_recognition,27.0,acl_bench_baseline_qwen2_polished_chat.json
Earlier polished ACL Bench,Qwen2-7B,LoRA-v1,Overall,61.33333333333333,acl_bench_qwen2_finetuned_polished_chat.json
Earlier polished ACL Bench,Qwen2-7B,LoRA-v1,counter_logic,100.0,acl_bench_qwen2_finetuned_polished_chat.json
Earlier polished ACL Bench,Qwen2-7B,LoRA-v1,hierarchy_logic,13.0,acl_bench_qwen2_finetuned_polished_chat.json
Earlier polished ACL Bench,Qwen2-7B,LoRA-v1,pattern_recognition,71.0,acl_bench_qwen2_finetuned_polished_chat.json
Earlier polished ACL Bench,Qwen2.5-7B,Base,Overall,71.33333333333334,acl_bench_baseline_qwen2.5_polished_chat.json
Earlier polished ACL Bench,Qwen2.5-7B,Base,counter_logic,75.0,acl_bench_baseline_qwen2.5_polished_chat.json
Earlier polished ACL Bench,Qwen2.5-7B,Base,hierarchy_logic,100.0,acl_bench_baseline_qwen2.5_polished_chat.json
Earlier polished ACL Bench,Qwen2.5-7B,Base,pattern_recognition,39.0,acl_bench_baseline_qwen2.5_polished_chat.json
Earlier polished ACL Bench,Qwen2.5-7B,LoRA-v1,Overall,75.33333333333333,acl_bench_qwen2.5_finetuned_polished_chat.json
Earlier polished ACL Bench,Qwen2.5-7B,LoRA-v1,counter_logic,98.0,acl_bench_qwen2.5_finetuned_polished_chat.json
Earlier polished ACL Bench,Qwen2.5-7B,LoRA-v1,hierarchy_logic,47.0,acl_bench_qwen2.5_finetuned_polished_chat.json
Earlier polished ACL Bench,Qwen2.5-7B,LoRA-v1,pattern_recognition,81.0,acl_bench_qwen2.5_finetuned_polished_chat.json
